,,,,,,,,,
Ship Class,Points,Hull Size,,,Ship Name,Ship Class,Points,Hull Type,Inflation Value
"Rattlesnake (Battleship, Pirate Faction)",53,Battleship,,,,,,,
"Barghest (Battleship, Pirate Faction)",53,Battleship,,,Impairor,Rookie Ship (Corvette),1,Corvette,0
"Bhaalgorn (Battleship, Pirate Faction)",53,Battleship,,,Ibis,Rookie Ship (Corvette),1,Corvette,0
"Nightmare (Battleship, Pirate Faction)",52,Battleship,,,Velator,Rookie Ship (Corvette),1,Corvette,0
Widow (Black Ops Battleship),51,Battleship,,,Reaper,Rookie Ship (Corvette),1,Corvette,0
Babaroga (Marauder),51,Battleship,,,Executioner,Frigate,4,Frigate,0
Leshak (Battleship),50,Battleship,,,Tormentor,Frigate,4,Frigate,0
"Vindicator (Battleship, Pirate Faction)",50,Battleship,,,Punisher,Punisher (Frigate),5,Frigate,0
"Battleship, Pirate Faction",50,Battleship,,,Magnate,Frigate,4,Frigate,0
Paladin (Marauder),50,Battleship,,,Condor,Frigate,4,Frigate,0
Vargur (Marauder),50,Battleship,,,Kestrel,Frigate,4,Frigate,0
Marauder,49,Battleship,,,Merlin,Frigate,4,Frigate,0
Kronos (Marauder),49,Battleship,,,Heron,Frigate,4,Frigate,0
"Machariel (Battleship, Pirate Faction)",48,Battleship,,,Atron,Frigate,4,Frigate,0
Golem (Marauder),48,Battleship,,,Tristan,Frigate,4,Frigate,0
"Battleship, Navy Faction",47,Battleship,,,Incursus,Frigate,4,Frigate,0
"Typhoon Fleet Issue (Battleship, Navy Faction)",47,Battleship,,,Imicus,Frigate,4,Frigate,0
"Scorpion Navy Issue (Battleship, Navy Faction)",45,Battleship,,,Slasher,Frigate,4,Frigate,0
"Armageddon Navy Issue (Battleship, Navy Faction)",45,Battleship,,,Breacher,Frigate,4,Frigate,0
"Dominix Navy Issue (Battleship, Navy Faction)",43,Battleship,,,Rifter,Frigate,4,Frigate,0
Black Ops Battleship,43,Battleship,,,Probe,Frigate,4,Frigate,0
"Tempest Fleet Issue (Battleship, Navy Faction)",43,Battleship,,,Inquisitor,Tech 1 Support Frigate,3,Logistics Frigate,1
"Apocalypse Navy Issue (Battleship, Navy Faction)",43,Battleship,,,Bantam,Tech 1 Support Frigate,3,Logistics Frigate,1
"Megathron Navy Issue (Battleship, Navy Faction)",42,Battleship,,,Navitas,Tech 1 Support Frigate,3,Logistics Frigate,1
